[2020-04-14 15:46:00,800][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:05,813][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:10,829][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:15,844][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:20,861][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:25,877][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:46:30,894][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{2tUc_wewSB-1YRfobF6GOA}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:426)
[2020-04-14 15:49:09,697][WARN ][main] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:11,062][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-14 15:49:14,464][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:19,485][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:24,511][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:29,534][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:34,559][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:39,580][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:44,604][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:49,644][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:49:54,672][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
